Τίτλος,Όμοιοι Τίτλοι
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών,"Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(Νομικό Πρόσωπο ΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού (Φυσικό Πρόσωπο)
Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (Φυσικό Πρόσωπο)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)
Άδεια Ίδρυσης και Λειτουργίας Κέντρων Δημιουργικής Απασχόλησης Παιδιών με Αναπηρία (ΚΔΑΠ-ΜΕΑ)
Έκδοση Άδειας Ίδρυσης και Λειτουργίας Ιδρυμάτων Παιδικής Πρόνοιας (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Μικτών Πρατηρίων Υγρών Καυσίμων και Αμιγώς Υγραερίου
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Οδοντοτεχνικών Εργαστηρίων (Φυσικό/Νομικό Πρόσωπο)"
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα),"Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)
Άδεια Ιδρύσε ως και Λειτουργίας Ψυκτικών Αποθηκών"
"Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)","Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)
Άδεια Ιδρύσε ως και Λειτουργίας Ψυκτικών Αποθηκών"
"Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)","Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)
Άδεια Ιδρύσε ως και Λειτουργίας Ψυκτικών Αποθηκών"
Άδεια Ίδρυσης και Λειτουργίας Κέντρου Δημιουργικής Απασχόλησης Παιδικών (ΚΔΑΠ),Άδεια Ίδρυσης και Λειτουργίας Κέντρων Δημιουργικής Απασχόλησης Παιδιών με Αναπηρία (ΚΔΑΠ-ΜΕΑ)
Άδεια Ίδρυσης και Λειτουργίας Κέντρων Δημιουργικής Απασχόλησης Παιδιών με Αναπηρία (ΚΔΑΠ-ΜΕΑ),"Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Κέντρου Δημιουργικής Απασχόλησης Παιδικών (ΚΔΑΠ)"
Άδεια Ίδρυσης και Λειτουργίας Καταφυγίων Αδέσποτων Ζώων Συντροφιάς,Ζώα συντροφιάς
"Άδεια Γόμωσης Κυνηγετικών Φυσιγγίων, για Εμπορία (Νομικό Πρόσωπο)","Άδεια Γόμωσης Κυνηγετικών Φυσιγγίων, για Εμπορία (Φυσικό Πρόσωπο)"
"Άδεια Γόμωσης Κυνηγετικών Φυσιγγίων, για Εμπορία (Φυσικό Πρόσωπο)","Άδεια Γόμωσης Κυνηγετικών Φυσιγγίων, για Εμπορία (Νομικό Πρόσωπο)"
Άδεια Δημοπρασίας Αρχαίων Κινητών Μνημείων / Διασυνοριακή Παροχή Υπηρεσιών Διεξαγωγής Δημοπρασιών Αρχαίων Κινητών Μνημείων,Άδεια Διεξαγωγής Δημοπρασιών Νεότερων Κινητών Μνημείων / Διασυνοριακή Παροχή Υπηρεσιών Δημοπρασιών Νεότερων Κινητών Μνημείων
Άδεια Διεξαγωγής Δημοπρασιών Νεότερων Κινητών Μνημείων / Διασυνοριακή Παροχή Υπηρεσιών Δημοπρασιών Νεότερων Κινητών Μνημείων,Άδεια Δημοπρασίας Αρχαίων Κινητών Μνημείων / Διασυνοριακή Παροχή Υπηρεσιών Διεξαγωγής Δημοπρασιών Αρχαίων Κινητών Μνημείων
"Άδεια Εμπορίας Όπλων και Λοιπών Αντικειμένων του Ν.2168/1993, ως Συλλεκτικά, Ιστορικά και Οικογενειακά Κειμήλια (ΦΠ)","Άδεια Εμπορίας Όπλων και Λοιπών Αντικειμένων του Ν. 2168/1993 ως Συλλεκτικά, Ιστορικά και Οικογενειακά Κειμήλια (ΝΠ)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Όπλων και Λοιπών Αντικειμένων του Ν. 2168/1993 ως Συλλεκτικά, Ιστορικά και Οικογενειακά Κειμήλια (ΝΠ)","Άδεια Εμπορίας Όπλων και Λοιπών Αντικειμένων του Ν.2168/1993, ως Συλλεκτικά, Ιστορικά και Οικογενειακά Κειμήλια (ΦΠ)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Ειδών Πυροτεχνίας (Φωτοβολίδων, Βεγγαλικών και Παιδικών Πυροτεχνικών Αθυρμάτων) (Νομικό Πρόσωπο)","Άδεια Εμπορίας Ειδών Πυροτεχνίας (Φωτοβολίδων, Βεγγαλικών και Παιδικών Πυροτεχνικών Αθυρμάτων) (Φυσικό Πρόσωπο)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Ειδών Πυροτεχνίας (Φωτοβολίδων, Βεγγαλικών και Παιδικών Πυροτεχνικών Αθυρμάτων) (Φυσικό Πρόσωπο)","Άδεια Εμπορίας Ειδών Πυροτεχνίας (Φωτοβολίδων, Βεγγαλικών και Παιδικών Πυροτεχνικών Αθυρμάτων) (Νομικό Πρόσωπο)
Άδεια οπλοφορίας"
Άδεια Εμπορίας Εκρηκτικών Υλών και Εκρηκτικών Μηχανισμών (Νομικό Πρόσωπο),"Άδεια Εμπορίας Εκρηκτικών Υλών και Εκρηκτικών Μηχανισμών (Φυσικό Πρόσωπο)
Άδεια οπλοφορίας"
Άδεια Εμπορίας Εκρηκτικών Υλών και Εκρηκτικών Μηχανισμών (Φυσικό Πρόσωπο),"Άδεια Εμπορίας Εκρηκτικών Υλών και Εκρηκτικών Μηχανισμών (Νομικό Πρόσωπο)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Κυνηγετικών Όπλων, Μερών, Ανταλλακτικών και Φυσιγγίων Αυτών, Πυρίτιδας, Καλύκων, Καψυλίων και Αεροβόλων Όπλων (ΝΠ)","Άδεια Εμπορίας Κυνηγετικών Όπλων, Μερών, Ανταλλακτικών και Φυσιγγίων Αυτών, Πυρίτιδας, Καλύκων, Καψυλίων και Αεροβόλων Όπλων (ΦΠ)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Κυνηγετικών Όπλων, Μερών, Ανταλλακτικών και Φυσιγγίων Αυτών, Πυρίτιδας, Καλύκων, Καψυλίων και Αεροβόλων Όπλων (ΦΠ)","Άδεια Εμπορίας Κυνηγετικών Όπλων, Μερών, Ανταλλακτικών και Φυσιγγίων Αυτών, Πυρίτιδας, Καλύκων, Καψυλίων και Αεροβόλων Όπλων (ΝΠ)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Περιστρόφων-Πιστολίων, Όπλων Σκοποβολής, Σκοπευτικών Διοπτρών (ΝΠ)","Άδεια Εμπορίας Περιστρόφων-Πιστολίων, Όπλων Σκοποβολής, Σκοπευτικών Διοπτρών (ΦΠ)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Περιστρόφων-Πιστολίων, Όπλων Σκοποβολής, Σκοπευτικών Διοπτρών (ΦΠ)","Άδεια Εμπορίας Περιστρόφων-Πιστολίων, Όπλων Σκοποβολής, Σκοπευτικών Διοπτρών (ΝΠ)
Άδεια οπλοφορίας"
Άδεια Επαγγελματία Πωλητή Λαϊκών Αγορών,Αλλαγή κατηγορίας άδειας επαγγελματία λαϊκών αγορών
Άδεια Επαγγελματία Πωλητή Πλανόδιου Εμπορίου,Άδεια Επαγγελματία Πωλητή Στάσιμου Εμπορίου
Άδεια Επαγγελματία Πωλητή Στάσιμου Εμπορίου,Άδεια Επαγγελματία Πωλητή Πλανόδιου Εμπορίου
Άδεια Ιδρύσε ως και Λειτουργίας Ψυκτικών Αποθηκών,"Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)"
"Άδεια Κατασκευής, Μετασκευής, Συναρμολόγησης, Επεξεργασίας ή Επισκευής Πυροβόλων Όπλων(ΦΠ)","Άδεια Κατασκευής, Μετασκευής, Συναρμολόγησης, Επεξεργασίας ή Επισκευής Πυροβόλων Όπλων (ΝΠ)"
"Άδεια Κατασκευής, Μετασκευής, Συναρμολόγησης, Επεξεργασίας ή Επισκευής Πυροβόλων Όπλων (ΝΠ)","Άδεια Κατασκευής, Μετασκευής, Συναρμολόγησης, Επεξεργασίας ή Επισκευής Πυροβόλων Όπλων(ΦΠ)"
Άδεια Κατασκευής Συσκευών Εκτόξευσης Φωτοβολίδων (αρθ. 5Α Παρ. 2 του Ν.456/76) (Νομικό Πρόσωπο),Άδεια Κατασκευής Συσκευών Εκτόξευσης Φωτοβολίδων (αρθ. 5Α Παρ. 2 του Ν.456/76) (Φυσικό Πρόσωπο)
Άδεια Κατασκευής Συσκευών Εκτόξευσης Φωτοβολίδων (αρθ. 5Α Παρ. 2 του Ν.456/76) (Φυσικό Πρόσωπο),Άδεια Κατασκευής Συσκευών Εκτόξευσης Φωτοβολίδων (αρθ. 5Α Παρ. 2 του Ν.456/76) (Νομικό Πρόσωπο)
Άδεια διακίνησης αιγών και προβάτων,Άδεια διακίνησης βοοειδών
Άδεια διακίνησης βοοειδών,"Άδεια διακίνησης αιγών και προβάτων
Άδεια διακίνησης χοιροειδών"
Άδεια διακίνησης χοιροειδών,Άδεια διακίνησης βοοειδών
Άδεια εισαγωγής ζωντανών αλιευμάτων,Άδεια εισαγωγής ζωντανών ζώων από χώρες εκτός ΕΕ
Άδεια εισαγωγής ζωντανών ζώων από χώρες εκτός ΕΕ,Άδεια εισαγωγής ζωντανών αλιευμάτων
Άδεια κυκλοφορίας και πινακίδες αγροτικών μηχανημάτων,"Άδεια οπλοφορίας
Τέλη κυκλοφορίας"
Άδεια κυκλοφορίας μοτοποδηλάτου,"Άδεια οπλοφορίας
Τέλη κυκλοφορίας"
Άδεια λειτουργίας κέντρου αποθεραπείας / αποκατάστασης,Έκδοση Άδειας Λειτουργίας Κέντρου Αποθεραπείας-Αποκατάστασης
Άδεια λειτουργίας μονάδας φροντίδας ηλικιωμένων,"Αναθεώρηση Άδειας Λειτουργίας Μονάδας Φροντίδας Ηλικιωμένων
Χορήγηση Άδειας Λειτουργίας Μονάδας Φροντίδας Ηλικιωμένων"
Άδεια λειτουργίας παιδικής εξοχής,Έκδοση Άδειας Λειτουργίας Παιδικής Εξοχής - Κατασκήνωσης.
Άδεια λειτουργίας πρατήριου υγρών καυσίμων ιδιωτικής χρήσης,"Άδεια λειτουργίας πρατηρίου υγρών καυσίμων
Άδεια λειτουργίας πρατηρίου υγρών καυσίμων και ενέργειας εντός λιμενικής ζώνης και τουριστικών λιμένων
Επανέκδοση άδειας λειτουργίας πρατηρίου υγρών καυσίμων δημόσιας χρήσης μετά από έγκριση νέων σχεδιαγραμμάτων μεταβολών"
Άδεια λειτουργίας πρατηρίου υγραερίου / μικτού πρατηρίου παροχής καυσίμων και ενέργειας,"Άδεια λειτουργίας πρατηρίου υγρών καυσίμων
Άδεια λειτουργίας πρατηρίου φυσικού αερίου ή μικτού πρατηρίου καυσίμων και ενέργειας"
Άδεια λειτουργίας πρατηρίου υγρών καυσίμων,"Άδεια λειτουργίας πρατήριου υγρών καυσίμων ιδιωτικής χρήσης
Άδεια λειτουργίας πρατηρίου υγραερίου / μικτού πρατηρίου παροχής καυσίμων και ενέργειας
Άδεια λειτουργίας πρατηρίου υγρών καυσίμων και ενέργειας εντός λιμενικής ζώνης και τουριστικών λιμένων
Άδεια λειτουργίας πρατηρίου φυσικού αερίου ή μικτού πρατηρίου καυσίμων και ενέργειας
Αναγγελία έναρξης λειτουργίας ιδιωτικού πρατηρίου υγρών καυσίμων με νέο δικαιούχο
Επανέκδοση άδειας λειτουργίας πρατηρίου υγρών καυσίμων δημόσιας χρήσης μετά από έγκριση νέων σχεδιαγραμμάτων μεταβολών
Μητρώο πρατηρίων υγρών καυσίμων
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Πρατηρίων Υγρών Καυσίμων"
Άδεια λειτουργίας πρατηρίου υγρών καυσίμων και ενέργειας εντός λιμενικής ζώνης και τουριστικών λιμένων,"Άδεια λειτουργίας πρατήριου υγρών καυσίμων ιδιωτικής χρήσης
Άδεια λειτουργίας πρατηρίου υγρών καυσίμων
Μητρώο πρατηρίων υγρών καυσίμων"
Άδεια λειτουργίας πρατηρίου φυσικού αερίου ή μικτού πρατηρίου καυσίμων και ενέργειας,"Άδεια λειτουργίας πρατηρίου υγραερίου / μικτού πρατηρίου παροχής καυσίμων και ενέργειας
Άδεια λειτουργίας πρατηρίου υγρών καυσίμων"
Άδεια λιανικής πώλησης κτηνιατρικών φαρμακευτικών προϊόντων,"Άδεια χονδρικής πώλησης κτηνιατρικών φαρμάκων
Χορήγηση Άδειας Λιανικής ή Χονδρικής Πώλησης Κτηνιατρικών Φαρμακευτικών Προϊόντων"
Άδεια μετακίνησης λεωφορείων δημοσίας χρήσης (ΛΔΧ) στο εξωτερικό,Κοινοτική άδεια μετακίνησης φορτηγών δημοσίας χρήσης (ΦΔΧ) στο εξωτερικό
Άδεια μεταφορέα ζώντων ζώων τύπου I,"Άδεια μεταφορέα ζώντων ζώων τύπου IΙ
Άδειες μεταφοράς ζώντων ζώων"
Άδεια μεταφορέα ζώντων ζώων τύπου IΙ,"Άδεια μεταφορέα ζώντων ζώων τύπου I
Άδειες μεταφοράς ζώντων ζώων"
Άδεια οδήγησης Επιβατηγού Δημόσιας Χρήσης (ΕΔΧ) αυτοκινήτου,"Ανανέωση ειδικής άδειας οδήγησης Επιβατηγού Δημόσιας Χρήσης (ΕΔΧ) αυτοκινήτου
Αντίγραφο ειδικής άδειας οδήγησης Επιβατηγού Δημόσιας Χρήσης (ΕΔΧ) αυτοκινήτου"
Άδεια οδικού μεταφορέα εμπορευμάτων και επιβατών,Ανανέωση άδειας οδικού μεταφορέα εμπορευμάτων και επιβατών
Άδεια οπλοφορίας,"Άδεια Εμπορίας Όπλων και Λοιπών Αντικειμένων του Ν.2168/1993, ως Συλλεκτικά, Ιστορικά και Οικογενειακά Κειμήλια (ΦΠ)
Άδεια Εμπορίας Όπλων και Λοιπών Αντικειμένων του Ν. 2168/1993 ως Συλλεκτικά, Ιστορικά και Οικογενειακά Κειμήλια (ΝΠ)
Άδεια Εμπορίας Ειδών Πυροτεχνίας (Φωτοβολίδων, Βεγγαλικών και Παιδικών Πυροτεχνικών Αθυρμάτων) (Νομικό Πρόσωπο)
Άδεια Εμπορίας Ειδών Πυροτεχνίας (Φωτοβολίδων, Βεγγαλικών και Παιδικών Πυροτεχνικών Αθυρμάτων) (Φυσικό Πρόσωπο)
Άδεια Εμπορίας Εκρηκτικών Υλών και Εκρηκτικών Μηχανισμών (Νομικό Πρόσωπο)
Άδεια Εμπορίας Εκρηκτικών Υλών και Εκρηκτικών Μηχανισμών (Φυσικό Πρόσωπο)
Άδεια Εμπορίας Κυνηγετικών Όπλων, Μερών, Ανταλλακτικών και Φυσιγγίων Αυτών, Πυρίτιδας, Καλύκων, Καψυλίων και Αεροβόλων Όπλων (ΝΠ)
Άδεια Εμπορίας Κυνηγετικών Όπλων, Μερών, Ανταλλακτικών και Φυσιγγίων Αυτών, Πυρίτιδας, Καλύκων, Καψυλίων και Αεροβόλων Όπλων (ΦΠ)
Άδεια Εμπορίας Περιστρόφων-Πιστολίων, Όπλων Σκοποβολής, Σκοπευτικών Διοπτρών (ΝΠ)
Άδεια Εμπορίας Περιστρόφων-Πιστολίων, Όπλων Σκοποβολής, Σκοπευτικών Διοπτρών (ΦΠ)
Άδεια κυκλοφορίας και πινακίδες αγροτικών μηχανημάτων
Άδεια κυκλοφορίας μοτοποδηλάτου
Έκδοση άδειας κυκλοφορίας φορτηγού αυτοκινήτου δημοσίας χρήσης (ΦΔΧ) λόγω μεταβίβασης
Έκδοση άδειας κυκλοφορίας φορτηγού αυτοκινήτου ιδιωτικής χρήσης (ΦΙΧ) αγροτικού
Έκδοση άδειας κυκλοφορίας φορτηγού αυτοκινήτου ιδιωτικής χρήσης (ΦΙΧ) σε μη κερδοσκοπικά πρόσωπα
Έκδοση άδειας κυκλοφορίας φορτηγού δημοσίας χρήσης (ΦΔΧ) κατόπιν αρχικής χορήγησης
Αντίγραφο άδειας κυκλοφορίας γεωργικού μηχανήματος λόγω απώλειας ή φθοράς
Αντίγραφο άδειας κυκλοφορίας οχημάτων ιδιωτικής χρήσης (ΙΧ)
Υπολογισμός και Έκδοση Αποφάσεων Επιστροφής (Rebate) σε Κατόχους Άδειας Κυκλοφορίας και Αντιπροσώπους Διακίνησης Φαρμάκων
Χορήγηση Άδειας Εμπορίας Λιπασμάτων Τύπου Α ή Β (Φυσικό/Νομικό Πρόσωπο)"
Άδεια πάγιας αγοράς ναρκωτικών ουσιών,Ανάκληση της πάγιας άδειας αγοράς ναρκωτικών ουσιών
