Τίτλος,Όμοιοι Τίτλοι
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών,"Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού(Νομικό Πρόσωπο ΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ανώτερης Ιδιωτικής Σχολής Δραματικής Τέχνης ή Ανώτερης Ιδιωτικής Σχολής Χορού (Φυσικό Πρόσωπο)
Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΔΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (ΝΠΙΔ)
Άδεια Ίδρυσης και Λειτουργίας Ερασιτεχνικής Σχολής Χορού ή Μεταβίβασης Άδειας ή Μετεγκατάστασης Σχολής (Φυσικό Πρόσωπο)
Άδεια Ίδρυσης και Λειτουργίας Εργαστηρίων Τεμαχισμού και Τυποποίησης Κρέατος
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)
Άδεια Ίδρυσης και Λειτουργίας Κέντρου Δημιουργικής Απασχόλησης Παιδικών (ΚΔΑΠ)
Άδεια Ίδρυσης και Λειτουργίας Κέντρων Δημιουργικής Απασχόλησης Παιδιών με Αναπηρία (ΚΔΑΠ-ΜΕΑ)
Άδεια Ίδρυσης και Λειτουργίας Κτηνιατρικού Γραφείου για Τα Παραγωγικά Ζώα
Άδεια Ιδρύσε ως και Λειτουργίας Ψυκτικών Αποθηκών
Έκδοση Άδειας Ίδρυσης και Λειτουργίας Ιδρυμάτων Παιδικής Πρόνοιας (Φυσικό/Νομικό Πρόσωπο)
Έκδοση Άδειας Ίδρυσης και Λειτουργίας Μονάδων Φροντίδας Προσχολικής Αγωγής και Διαπαιδαγώγησης από Φορείς ΙΔ
Έκδοση Άδειας Ίδρυσης και Λειτουργίας Στεγών Υποστηριζόμενης Διαβίωσης Ατόμων με Αναπηρία που Χαρακτηρίζονται από Νοητική Υστέρηση
Γνωστοποίηση Ίδρυσης και Λειτουργίας Ιδιωτικού Γυμναστηρίου ή Ιδιωτικής Σχολής Εκμάθησης Αθλημάτων (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Εργαστηρίων Αισθητικής (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Καταστημάτων Οπτικών Ειδών και Τμήματος Φακών Επαφής (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Μικτών Πρατηρίων Υγρών Καυσίμων και Αμιγώς Υγραερίου
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Μονάδων Αδυνατίσματος - Διαιτολογικών Μονάδων (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Οδοντοτεχνικών Εργαστηρίων (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Πρατηρίων Διανομής Πεπιεσμένου Φυσικού Αερίου (CNG)
Χορήγηση Άδειας Ίδρυσης και Λειτουργίας Πρατηρίων Υγρών Καυσίμων"
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα),"Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)
Άδεια Ιδρύσε ως και Λειτουργίας Ψυκτικών Αποθηκών"
"Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)","Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)
Άδεια Ιδρύσε ως και Λειτουργίας Ψυκτικών Αποθηκών"
"Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)","Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)
Άδεια Ιδρύσε ως και Λειτουργίας Ψυκτικών Αποθηκών"
Άδεια Ίδρυσης και Λειτουργίας Κέντρου Δημιουργικής Απασχόλησης Παιδικών (ΚΔΑΠ),"Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Κέντρων Δημιουργικής Απασχόλησης Παιδιών με Αναπηρία (ΚΔΑΠ-ΜΕΑ)"
Άδεια Ίδρυσης και Λειτουργίας Κέντρων Δημιουργικής Απασχόλησης Παιδιών με Αναπηρία (ΚΔΑΠ-ΜΕΑ),"Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Κέντρου Δημιουργικής Απασχόλησης Παιδικών (ΚΔΑΠ)"
Άδεια Ίδρυσης και Λειτουργίας Καταφυγίων Αδέσποτων Ζώων Συντροφιάς,"Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Ζώα συντροφιάς"
Άδεια Ίδρυσης και Λειτουργίας Κτηνιατρικού Γραφείου για Τα Παραγωγικά Ζώα,"Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών"
"Άδεια Γόμωσης Κυνηγετικών Φυσιγγίων, για Εμπορία (Νομικό Πρόσωπο)","Άδεια Γόμωσης Κυνηγετικών Φυσιγγίων, για Εμπορία (Φυσικό Πρόσωπο)"
"Άδεια Γόμωσης Κυνηγετικών Φυσιγγίων, για Εμπορία (Φυσικό Πρόσωπο)","Άδεια Γόμωσης Κυνηγετικών Φυσιγγίων, για Εμπορία (Νομικό Πρόσωπο)"
Άδεια Δημοπρασίας Αρχαίων Κινητών Μνημείων / Διασυνοριακή Παροχή Υπηρεσιών Διεξαγωγής Δημοπρασιών Αρχαίων Κινητών Μνημείων,Άδεια Διεξαγωγής Δημοπρασιών Νεότερων Κινητών Μνημείων / Διασυνοριακή Παροχή Υπηρεσιών Δημοπρασιών Νεότερων Κινητών Μνημείων
Άδεια Διεξαγωγής Δημοπρασιών Νεότερων Κινητών Μνημείων / Διασυνοριακή Παροχή Υπηρεσιών Δημοπρασιών Νεότερων Κινητών Μνημείων,Άδεια Δημοπρασίας Αρχαίων Κινητών Μνημείων / Διασυνοριακή Παροχή Υπηρεσιών Διεξαγωγής Δημοπρασιών Αρχαίων Κινητών Μνημείων
"Άδεια Εμπορίας Όπλων και Λοιπών Αντικειμένων του Ν.2168/1993, ως Συλλεκτικά, Ιστορικά και Οικογενειακά Κειμήλια (ΦΠ)","Άδεια Εμπορίας Όπλων και Λοιπών Αντικειμένων του Ν. 2168/1993 ως Συλλεκτικά, Ιστορικά και Οικογενειακά Κειμήλια (ΝΠ)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Όπλων και Λοιπών Αντικειμένων του Ν. 2168/1993 ως Συλλεκτικά, Ιστορικά και Οικογενειακά Κειμήλια (ΝΠ)","Άδεια Εμπορίας Όπλων και Λοιπών Αντικειμένων του Ν.2168/1993, ως Συλλεκτικά, Ιστορικά και Οικογενειακά Κειμήλια (ΦΠ)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Ειδών Πυροτεχνίας (Φωτοβολίδων, Βεγγαλικών και Παιδικών Πυροτεχνικών Αθυρμάτων) (Νομικό Πρόσωπο)","Άδεια Εμπορίας Ειδών Πυροτεχνίας (Φωτοβολίδων, Βεγγαλικών και Παιδικών Πυροτεχνικών Αθυρμάτων) (Φυσικό Πρόσωπο)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Ειδών Πυροτεχνίας (Φωτοβολίδων, Βεγγαλικών και Παιδικών Πυροτεχνικών Αθυρμάτων) (Φυσικό Πρόσωπο)","Άδεια Εμπορίας Ειδών Πυροτεχνίας (Φωτοβολίδων, Βεγγαλικών και Παιδικών Πυροτεχνικών Αθυρμάτων) (Νομικό Πρόσωπο)
Άδεια οπλοφορίας"
Άδεια Εμπορίας Εκρηκτικών Υλών και Εκρηκτικών Μηχανισμών (Νομικό Πρόσωπο),"Άδεια Εμπορίας Εκρηκτικών Υλών και Εκρηκτικών Μηχανισμών (Φυσικό Πρόσωπο)
Άδεια οπλοφορίας"
Άδεια Εμπορίας Εκρηκτικών Υλών και Εκρηκτικών Μηχανισμών (Φυσικό Πρόσωπο),"Άδεια Εμπορίας Εκρηκτικών Υλών και Εκρηκτικών Μηχανισμών (Νομικό Πρόσωπο)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Κυνηγετικών Όπλων, Μερών, Ανταλλακτικών και Φυσιγγίων Αυτών, Πυρίτιδας, Καλύκων, Καψυλίων και Αεροβόλων Όπλων (ΝΠ)","Άδεια Εμπορίας Κυνηγετικών Όπλων, Μερών, Ανταλλακτικών και Φυσιγγίων Αυτών, Πυρίτιδας, Καλύκων, Καψυλίων και Αεροβόλων Όπλων (ΦΠ)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Κυνηγετικών Όπλων, Μερών, Ανταλλακτικών και Φυσιγγίων Αυτών, Πυρίτιδας, Καλύκων, Καψυλίων και Αεροβόλων Όπλων (ΦΠ)","Άδεια Εμπορίας Κυνηγετικών Όπλων, Μερών, Ανταλλακτικών και Φυσιγγίων Αυτών, Πυρίτιδας, Καλύκων, Καψυλίων και Αεροβόλων Όπλων (ΝΠ)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Περιστρόφων-Πιστολίων, Όπλων Σκοποβολής, Σκοπευτικών Διοπτρών (ΝΠ)","Άδεια Εμπορίας Περιστρόφων-Πιστολίων, Όπλων Σκοποβολής, Σκοπευτικών Διοπτρών (ΦΠ)
Άδεια οπλοφορίας"
"Άδεια Εμπορίας Περιστρόφων-Πιστολίων, Όπλων Σκοποβολής, Σκοπευτικών Διοπτρών (ΦΠ)","Άδεια Εμπορίας Περιστρόφων-Πιστολίων, Όπλων Σκοποβολής, Σκοπευτικών Διοπτρών (ΝΠ)
Άδεια οπλοφορίας"
Άδεια Επαγγελματία Πωλητή Λαϊκών Αγορών,"Άδεια Επαγγελματία Πωλητή Πλανόδιου Εμπορίου
Άδεια Επαγγελματία Πωλητή Στάσιμου Εμπορίου
Αλλαγή κατηγορίας άδειας επαγγελματία λαϊκών αγορών"
Άδεια Επαγγελματία Πωλητή Πλανόδιου Εμπορίου,"Άδεια Επαγγελματία Πωλητή Λαϊκών Αγορών
Άδεια Επαγγελματία Πωλητή Στάσιμου Εμπορίου"
Άδεια Επαγγελματία Πωλητή Στάσιμου Εμπορίου,"Άδεια Επαγγελματία Πωλητή Λαϊκών Αγορών
Άδεια Επαγγελματία Πωλητή Πλανόδιου Εμπορίου"
Άδεια Ιδρύσε ως και Λειτουργίας Ψυκτικών Αποθηκών,"Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Κλινικών
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων) (Για Νομικά Πρόσωπα)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών)
Άδεια Ίδρυσης και Λειτουργίας Ιδιωτικών Μουσικών Εκπαιδευτικών Ιδρυμάτων (Ωδείων, Μουσικών Σχολών ή Παραρτημάτων Αυτών) (Για Δήμους)"
"Άδεια Κατασκευής, Μετασκευής, Συναρμολόγησης, Επεξεργασίας ή Επισκευής Πυροβόλων Όπλων(ΦΠ)","Άδεια Κατασκευής, Μετασκευής, Συναρμολόγησης, Επεξεργασίας ή Επισκευής Πυροβόλων Όπλων (ΝΠ)"
"Άδεια Κατασκευής, Μετασκευής, Συναρμολόγησης, Επεξεργασίας ή Επισκευής Πυροβόλων Όπλων (ΝΠ)","Άδεια Κατασκευής, Μετασκευής, Συναρμολόγησης, Επεξεργασίας ή Επισκευής Πυροβόλων Όπλων(ΦΠ)"
Άδεια Κατασκευής Συσκευών Εκτόξευσης Φωτοβολίδων (αρθ. 5Α Παρ. 2 του Ν.456/76) (Νομικό Πρόσωπο),Άδεια Κατασκευής Συσκευών Εκτόξευσης Φωτοβολίδων (αρθ. 5Α Παρ. 2 του Ν.456/76) (Φυσικό Πρόσωπο)
Άδεια Κατασκευής Συσκευών Εκτόξευσης Φωτοβολίδων (αρθ. 5Α Παρ. 2 του Ν.456/76) (Φυσικό Πρόσωπο),Άδεια Κατασκευής Συσκευών Εκτόξευσης Φωτοβολίδων (αρθ. 5Α Παρ. 2 του Ν.456/76) (Νομικό Πρόσωπο)
Άδεια Σκοπιμότητας Ίδρυσης και Λειτουργίας Σφαγείων Οπληφόρων Ζώων και Πτηνοσφαγείων,Άδεια Ίδρυσης και Λειτουργίας Ενδιαιτημάτων Ζώων
Άδεια άσκησης επαγγέλματος κατασκευαστών / επισκευαστών κλειδαριών,"Άδεια άσκησης επαγγέλματος παλαιοπωλών, ενεχυροδανειστών
Άσκηση επαγγέλματος εκπαιδευτή οδηγών"
"Άδεια άσκησης επαγγέλματος παλαιοπωλών, ενεχυροδανειστών","Άδεια άσκησης επαγγέλματος κατασκευαστών / επισκευαστών κλειδαριών
Αναγγελία Άσκησης Επαγγέλματος Αργυραμοιβών, Παλαιοπωλών, Ενεχυροδανειστών και Ασχολούμενων με την Αγοραπωλησία(Νομικό Πρόσωπο)
Αναγγελία Άσκησης Επαγγέλματος Αργυραμοιβών, Παλαιοπωλών, Ενεχυροδανειστών και Ασχολούμενων με την Αγοραπωλησία(Φυσικό Πρόσωπο)
Παύση άσκησης επαγγέλματος μηχανικού"
Άδεια διακίνησης αιγών και προβάτων,"Άδεια διακίνησης βοοειδών
Άδεια διακίνησης χοιροειδών"
Άδεια διακίνησης βοοειδών,"Άδεια διακίνησης αιγών και προβάτων
Άδεια διακίνησης χοιροειδών"
Άδεια διακίνησης χοιροειδών,"Άδεια διακίνησης αιγών και προβάτων
Άδεια διακίνησης βοοειδών
Αναγγελία διακίνησης οπωροκηπευτικών"
Άδεια εισαγωγής ζωντανών αλιευμάτων,Άδεια εισαγωγής ζωντανών ζώων από χώρες εκτός ΕΕ
Άδεια εισαγωγής ζωντανών ζώων από χώρες εκτός ΕΕ,Άδεια εισαγωγής ζωντανών αλιευμάτων
Άδεια κυκλοφορίας και πινακίδες αγροτικών μηχανημάτων,"Άδεια οπλοφορίας
Τέλη κυκλοφορίας"
Άδεια κυκλοφορίας μοτοποδηλάτου,"Άδεια οπλοφορίας
Έκδοση άδειας κυκλοφορίας φορτηγού αυτοκινήτου δημοσίας χρήσης (ΦΔΧ) λόγω μεταβίβασης
Έκδοση άδειας κυκλοφορίας φορτηγού αυτοκινήτου ιδιωτικής χρήσης (ΦΙΧ) αγροτικού
Έκδοση άδειας κυκλοφορίας φορτηγού αυτοκινήτου ιδιωτικής χρήσης (ΦΙΧ) σε μη κερδοσκοπικά πρόσωπα
Έκδοση άδειας κυκλοφορίας φορτηγού δημοσίας χρήσης (ΦΔΧ) κατόπιν αρχικής χορήγησης
Τέλη κυκλοφορίας"
Άδεια λειτουργίας κέντρου αποθεραπείας / αποκατάστασης,"Έκδοση Άδειας Ίδρυσης Κέντρου Αποθεραπείας-Αποκατάστασης
Έκδοση Άδειας Λειτουργίας Κέντρου Αποθεραπείας-Αποκατάστασης"
Άδεια λειτουργίας μονάδας φροντίδας ηλικιωμένων,"Αναθεώρηση Άδειας Λειτουργίας Μονάδας Φροντίδας Ηλικιωμένων
Χορήγηση Άδειας Ίδρυσης Μονάδας Φροντίδας Ηλικιωμένων (Φυσικό/Νομικό Πρόσωπο)
Χορήγηση Άδειας Λειτουργίας Μονάδας Φροντίδας Ηλικιωμένων"
Άδεια λειτουργίας παιδικής εξοχής,Έκδοση Άδειας Λειτουργίας Παιδικής Εξοχής - Κατασκήνωσης.
